zipcode,income
48001,385108
48002,102460
48003,210579
48005,210225
48006,115479
48009,3295184
48014,105881
48015,166704
48017,416135
48021,633779
48022,74719
48023,148091
48025,1836332
48026,416957
48027,90930
48028,44627
48030,283716
48032,62004
48033,462163
48034,414647
48035,816937
48036,673914
48038,1450549
48039,204158
48040,294796
48041,129928
48042,1342618
48043,303010
48044,2133486
48045,971201
48047,1510778
48048,200807
48049,166420
48050,57953
48051,558633
48054,266359
48059,490727
48060,774925
48062,294591
48063,129399
48064,125758
48065,487362
48066,941853
48067,1340494
48069,193485
48070,656293
48071,739139
48072,651207
48073,1498784
48074,232027
48075,624736
48076,871565
48079,486111
48080,724233
48081,701967
48082,498673
48083,908173
48084,1060014
48085,1245556
48088,626107
48089,503248
48091,533146
48092,705724
48093,651150
48094,1039375
48095,289263
48096,156500
48097,118762
48098,1593322
48101,906460
48103,3402907
48104,1674187
48105,2102896
48108,1270659
48109,7685
48111,1299346
48114,1089456
48116,1464848
48117,327863
48118,640300
48120,167310
48122,180247
48124,1240062
48125,424768
48126,751944
48127,938379
48128,379527
48130,907637
48131,243458
48133,148573
48134,762010
48135,676667
48137,174113
48138,737394
48140,107240
48141,316089
48144,423117
48145,127740
48146,737377
48150,929018
48152,1272582
48154,1489116
48157,33575
48158,277061
48159,76698
48160,411059
48161,673580
48162,819001
48164,350872
48165,335270
48166,360012
48167,1813765
48168,2212997
48169,865224
48170,2547622
48173,446247
48174,717985
48176,1217574
48178,1837118
48179,110006
48180,1318980
48182,743386
48183,1372010
48184,353634
48185,1212483
48186,773060
48187,2136236
48188,1883277
48189,495348
48191,114368
48192,682901
48193,455001
48195,814514
48197,1746297
48198,956589
48201,204279
48202,210345
48203,293116
48204,201767
48205,324939
48206,173120
48207,368952
48208,91009
48209,239262
48210,207524
48211,43718
48212,350867
48213,167237
48214,289193
48215,138569
48216,79126
48217,70007
48218,84051
48219,587568
48220,753935
48221,646390
48223,333801
48224,452296
48225,299580
48226,681127
48227,425422
48228,475817
48229,99827
48230,1524137
48234,325400
48235,569726
48236,4597036
48237,720299
48238,223770
48239,835207
48240,358090
48301,1867084
48302,2478395
48304,3126654
48306,2233859
48307,1991759
48309,1562289
48310,1014348
48312,977313
48313,1112204
48314,741390
48315,1352012
48316,1224935
48317,827506
48320,217764
48322,1922482
48323,1557297
48324,1240592
48326,937069
48327,659567
48328,720386
48329,901408
48331,1707823
48334,875010
48335,1025297
48336,866073
48340,310341
48341,263522
48342,186371
48346,911675
48348,1466065
48350,311088
48353,268230
48356,339591
48357,391749
48359,383876
48360,621635
48362,718461
48363,530018
48367,208022
48370,96878
48371,988220
48374,1203097
48375,1105587
48377,821510
48380,500458
48381,667074
48382,1292934
48383,496603
48386,700054
48390,1055279
48393,572370
48401,29693
48412,161664
48413,176647
48414,62156
48415,241792
48416,104633
48417,62592
48418,124878
48419,52676
48420,543025
48421,175238
48422,134268
48423,960855
48426,16245
48427,49840
48428,222177
48429,221981
48430,1717942
48432,14130
48433,825167
48435,42584
48436,119548
48438,294239
48439,1964632
48441,91591
48442,663228
48444,235809
48445,30305
48446,782013
48449,65120
48450,153763
48451,628968
48453,102446
48454,30493
48455,356498
48456,16809
48457,174320
48458,288184
48460,66256
48461,200657
48462,551567
48463,116500
48464,47054
48465,12761
48466,33752
48467,71374
48468,26471
48469,40473
48470,14849
48471,117468
48472,36255
48473,659160
48475,72513
48502,88388
48503,305713
48504,277856
48505,154009
48506,359858
48507,508331
48509,234725
48519,166206
48529,126787
48532,422898
48601,413555
48602,426624
48603,885413
48604,211651
48607,15121
48609,443462
48610,60456
48611,203853
48612,205530
48613,22064
48614,25060
48615,63573
48616,185842
48617,195695
48618,117932
48619,8440
48621,25333
48622,141149
48623,507310
48624,327017
48625,210461
48626,198632
48628,61693
48629,159597
48631,132963
48632,93992
48634,133350
48635,30864
48636,16245
48637,82326
48638,369025
48640,1185762
48642,1415950
48647,73569
48649,38231
48650,169078
48651,92424
48652,37230
48653,241682
48654,43578
48655,157479
48656,63984
48657,258713
48658,110633
48659,53020
48661,242679
48662,37435
48701,26824
48703,79430
48705,9485
48706,1107567
48708,560003
48720,28166
48721,9874
48722,72368
48723,257775
48725,61146
48726,130662
48727,24122
48728,7493
48729,27361
48730,118181
48731,34791
48732,315070
48733,37728
48734,343970
48735,18212
48737,18324
48738,28983
48739,75832
48740,55534
48741,40218
48742,38832
48744,92877
48745,23925
48746,190997
48747,42691
48748,35019
48749,21976
48750,181703
48754,20059
48755,105466
48756,52927
48757,99582
48759,79791
48760,25127
48761,12030
48762,27907
48763,117021
48765,12520
48766,17420
48767,55149
48768,218696
48770,29489
48801,302793
48806,34035
48807,16174
48808,218915
48809,267875
48811,63381
48813,576446
48815,76747
48817,137762
48818,48667
48819,77913
48820,843121
48821,220104
48822,113760
48823,1566665
48827,458513
48829,59709
48831,72204
48832,31237
48834,46388
48835,78932
48836,404253
48837,710454
48838,443904
48840,485384
48841,20121
48842,700365
48843,1820948
48845,19849
48846,325754
48847,138423
48848,264543
48849,161421
48850,94526
48851,64778
48854,664773
48855,586128
48856,16058
48857,65012
48858,947309
48860,28380
48861,43257
48864,1188851
48865,37965
48866,108961
48867,635351
48871,56425
48872,216437
48873,46541
48875,314149
48876,108601
48877,42155
48878,41058
48879,537595
48880,138882
48881,140274
48883,170524
48884,86949
48885,19593
48886,39844
48888,126517
48889,26918
48890,53488
48891,52418
48892,127968
48893,147004
48894,77921
48895,513745
48897,38200
48906,563185
48910,647470
48911,787036
48912,362662
48915,167338
48917,1018708
48933,45659
49001,398114
49002,669894
49004,411518
49006,475840
49007,256351
49008,621746
49009,1850504
49010,449420
49011,53325
49012,158283
49013,88189
49014,544372
49015,792332
49017,494402
49021,154630
49022,520866
49024,1173052
49026,45907
49028,127719
49029,38464
49030,52368
49031,240050
49032,67122
49033,62103
49034,63992
49036,554881
49037,317707
49038,229013
49040,74413
49042,108081
49043,34339
49045,113622
49046,204051
49047,325214
49048,519280
49050,43569
49051,81487
49052,22919
49053,229949
49055,155371
49056,68180
49057,107364
49058,520672
49060,153279
49061,39755
49064,85702
49065,187016
49066,13637
49067,113303
49068,490239
49070,65823
49071,455468
49072,80946
49073,104073
49076,93056
49078,255418
49079,367213
49080,479631
49082,148561
49083,459142
49085,1199293
49087,244919
49088,143190
49089,34122
49090,427795
49091,472852
49092,48213
49093,447884
49094,85348
49095,68519
49096,73682
49097,445023
49098,134845
49099,158462
49101,92599
49102,34952
49103,272379
49106,146637
49107,253037
49111,85250
49112,337225
49113,45747
49116,21142
49117,183205
49120,995327
49125,81535
49126,30507
49127,443807
49128,88990
49129,47160
49130,85315
49201,1188623
49202,316881
49203,837678
49220,55438
49221,834071
49224,229546
49227,27366
49228,148387
49229,100924
49230,345139
49232,52884
49233,85342
49234,122848
49235,45491
49236,136212
49237,79046
49238,45694
49240,328440
49241,57458
49242,307231
49245,97181
49246,120414
49247,122878
49248,21335
49249,98924
49250,131325
49251,170738
49252,54083
49253,109398
49254,81037
49255,26165
49256,76330
49259,66231
49262,24250
49264,48841
49265,182950
49266,59421
49267,143391
49268,25896
49269,160083
49270,201393
49271,43379
49272,80978
49274,72560
49276,29131
49277,92407
49279,22733
49282,6672
49283,92681
49284,71640
49285,167675
49286,469025
49287,64727
49288,24128
49301,2071402
49302,404159
49303,26380
49304,58686
49305,38776
49306,617197
49307,371263
49309,31653
49310,58034
49315,1140500
49316,1034044
49318,38605
49319,456515
49321,452886
49322,20223
49323,305484
49325,61583
49326,105177
49327,183607
49328,104024
49329,190242
49330,133934
49331,609021
49332,64729
49333,437319
49336,73890
49337,300604
49338,45005
49339,78297
49340,61225
49341,1639737
49342,34575
49343,152601
49344,133480
49345,404251
49346,178600
49347,32622
49348,399344
49349,137779
49401,459810
49402,27623
49403,77253
49404,250559
49405,34632
49408,244970
49410,36944
49411,40682
49412,284186
49415,196376
49417,1208029
49418,1140915
49419,315879
49420,127178
49421,110884
49423,1499547
49424,1832878
49425,67452
49426,1478918
49428,848365
49431,495231
49435,155489
49436,49619
49437,194036
49440,26362
49441,1037753
49442,619272
49444,489324
49445,731221
49446,54393
49448,118773
49449,98955
49450,44850
49451,145166
49452,36972
49453,218066
49454,97675
49455,123219
49456,1011503
49457,256394
49459,21299
49460,399506
49461,279227
49464,1010658
49503,2067567
49504,975901
49505,827591
49506,1852893
49507,590272
49508,968460
49509,542346
49512,539514
49519,655365
49525,1334584
49534,774541
49544,268243
49546,1919174
49548,619496
49601,519592
49612,36452
49613,24262
49614,70823
49615,139452
49616,42609
49617,95010
49618,16951
49619,19535
49620,61123
49621,108544
49622,66231
49623,20591
49625,22131
49629,97421
49630,66391
49631,106066
49632,21128
49633,88125
49635,145843
49636,72522
49637,92016
49638,15067
49639,54390
49640,50570
49642,7157
49643,193135
49644,35711
49645,33834
49646,192284
49648,123147
49649,161939
49650,91370
49651,163331
49653,90448
49654,72469
49655,71168
49656,26990
49657,81379
49659,121462
49660,336790
49663,118334
49664,86268
49665,76352
49667,9807
49668,66628
49670,86776
49675,42390
49676,114132
49677,141577
49679,25187
49680,38927
49682,190307
49683,53772
49684,913678
49686,1161319
49688,63304
49689,29617
49690,344981
49701,39581
49705,13460
49706,119075
49707,563128
49709,63830
49710,11129
49712,280666
49713,50051
49715,76788
49716,30205
49718,15960
49719,44009
49720,352812
49721,321109
49724,27275
49725,15015
49726,25839
49727,193705
49728,5685
49729,40506
49730,49803
49733,33750
49735,509849
49736,10723
49738,218208
49740,381627
49743,14052
49744,19602
49745,22773
49746,65119
49747,43659
49749,152172
49751,46241
49752,10171
49753,41955
49755,42651
49756,82520
49759,34746
49760,13836
49762,13441
49765,76443
49766,63406
49768,9726
49769,34538
49770,734635
49774,44570
49776,35519
49777,59512
49779,100855
49780,44798
49781,96049
49782,19066
49783,409526
49788,32805
49795,39622
49799,45131
49801,357351
49802,154127
49805,8525
49806,18014
49807,83321
49812,22313
49814,33975
49815,11271
49816,15527
49817,12464
49818,25306
49820,13386
49821,27196
49827,16829
49829,397083
49831,17011
49834,8952
49835,17338
49836,15460
49837,273371
49838,8083
49840,19149
49841,144663
49847,20660
49849,293026
49853,31079
49854,149503
49855,933114
49858,303706
49861,18213
49862,99179
49866,228068
49868,85791
49870,77686
49874,21050
49876,27619
49878,89904
49879,20798
49880,23564
49881,8657
49884,8866
49885,49190
49886,7984
49887,50298
49891,13197
49892,52385
49893,41938
49894,17915
49895,22476
49896,31979
49905,44696
49908,47962
49910,8338
49911,54085
49912,16526
49913,143097
49916,80140
49920,103213
49921,4726
49925,10754
49927,8716
49930,169277
49931,172515
49935,122136
49938,147920
49945,62273
49946,85799
49947,17363
49948,8668
49950,31885
49953,56337
49958,25518
49962,5597
49965,9380
49967,9768
49968,39279
49969,132776
49970,4691
99999,2986134
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"** - Not shown to avoid disclosure of information 
about specific taxpayers.  However, the data are 
combined with data in an adjacent size class, 
as appropriate, and included in the appropriate totals.",
"[1] The ZIP Code is based on the 5-digit ZIP code on the individual 
income tax return.  ZIP Codes with less than 100 returns, 
identified as a single building ZIP code, or identified as a 
nonresidential ZIP code have been categorized as other (99999).",
"[2] Beginning in 2018, personal exemption deductions were suspended 
for the primary, secondary, and dependent taxpayers. However, the 
data used to create the “Number of individuals”—filing status, dependent 
status indicator, and identifying dependent information—are still available 
on the Form 1040. This field is based on these data.",
"[3] The ""Number of volunteer prepared returns"" shows counts of 
returns prepared by IRS-certified volunteers to taxpayers with 
limited income, persons with disabilities, limited English speaking 
taxpayers, current and former members of the military, and 
taxpayers who are 60 years of age and older.",
"[4] These data do not distinguish between refund anticipation 
loans and refund advances.",
[5] Includes primary taxpayers 60 years of age or older.,
[6] Less deficit.,
"[7] ""Qualified dividends"" are ordinary dividends received 
in tax years beginning after 2002 that meet certain 
conditions and receive preferential tax rates. 
The maximum qualified dividends tax rate is 20%.",
"[8] Includes the Alaskan permanent fund, reported by 
residents of Alaska on Form 1040. This fund only applies 
to statistics in the totals, and the state of Alaska.",
"[9] ""Earned income credit"" includes both the refundable 
and non-refundable portions.  The non-refundable portion 
could reduce income tax and certain related taxes to zero. 
The earned income credit amounts in excess of total tax 
liability, or amounts when there was no tax liability at all, 
were refundable.  See footnote 10 below for explanation 
of the refundable portion of the earned income credit.",
"[10] The refundable portion of the ""earned income credit"" 
equals ""total income tax"" minus the ""earned income credit.""  
If the result is negative, this amount is considered the 
refundable portion.  No other refundable credits were 
taken into account for this calculation.",
"[11] ""Total tax liability"" differs from ""Income tax,"" in that
""Total tax liability"" includes the taxes from recapture of 
certain prior-year credits, tax applicable to individual 
retirement arrangements (IRA's), social security taxes 
on self-employment income and on certain tip income, 
advanced earned income payments, household
employment taxes, and certain ""other taxes"" listed 
in the Form 1040 instructions.",
"[12] Reflects payments to or withholdings made to 
""Total tax liability"".  This is the amount the tax filer 
owes when the income tax return is filed.",
"[13]  The amount of overpayments the tax filer requested to 
have refunded. ",
"NOTE: This table presents aggregates of all returns filed and
processed through the Individual Master File (IMF) system 
during Calendar Year 2019, including any returns filed for 
tax years preceding 2018.",
"This table is based on tax returns as initially processed by IRS
and does not reflect amended returns or errors that were
corrected after initial processing. In general, during administrative 
or Master File processing, taxpayer reporting discrepancies are 
corrected only to the extent necessary. These statistics should, 
therefore, be used with the knowledge that some of the 
data have not been perfected or edited for statistical purposes 
and that State totals in this table may not be altogether 
comparable to other State totals published by the IRS, 
Statistics of Income Division. ",
Detail may not add to totals because of rounding.,
"SOURCE: IRS, Statistics of Income Division, 
Individual Master File System, August 2020.",
